,Date,Index Name,Value,Name
6838,1988-07-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",69.9,CPI
1287,1988-07-01,"HOUSING, WATER AND FUELS",33.4,CPIH
9400,1988-07-01,"HOTELS, CAFES AND RESTAURANTS",33.9,CPI
2141,1988-07-01,HEALTH,39.0,CPIH
6411,1988-07-01,"Housing, water, electricity, gas and other fuels",40.4,CPI
3422,1988-07-01,RECREATION & CULTURE,75.7,CPIH
8973,1988-07-01,EDUCATION,12.4,CPI
9827,1988-07-01,MISCELLANEOUS GOODS AND SERVICES,47.2,CPI
433,1988-07-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",28.0,CPIH
8119,1988-07-01,COMMUNICATION,96.9,CPI
4276,1988-07-01,"HOTELS, CAFES AND RESTAURANTS",33.9,CPIH
7693,1988-08-01,TRANSPORT,42.0,CPI
7266,1988-08-01,HEALTH,38.9,CPI
8974,1988-08-01,EDUCATION,12.4,CPI
5558,1988-08-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",28.0,CPI
5985,1988-08-01,CLOTHING AND FOOTWEAR,195.3,CPI
434,1988-08-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",28.0,CPIH
6839,1988-08-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",70.2,CPI
9401,1988-08-01,"HOTELS, CAFES AND RESTAURANTS",34.1,CPI
9828,1988-08-01,MISCELLANEOUS GOODS AND SERVICES,47.4,CPI
3423,1988-08-01,RECREATION & CULTURE,75.8,CPIH
2996,1988-08-01,COMMUNICATION,98.0,CPIH
1288,1988-08-01,"HOUSING, WATER AND FUELS",33.4,CPIH
2142,1988-08-01,HEALTH,39.2,CPIH
5131,1988-08-01,FOOD AND NON-ALCOHOLIC BEVERAGES,48.6,CPI
3850,1988-08-01,EDUCATION,12.4,CPIH
6412,1988-08-01,"Housing, water, electricity, gas and other fuels",40.7,CPI
2569,1988-08-01,TRANSPORT,42.1,CPIH
8547,1988-08-01,RECREATION & CULTURE,75.4,CPI
1715,1988-08-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",70.9,CPIH
4277,1988-08-01,"HOTELS, CAFES AND RESTAURANTS",34.1,CPIH
861,1988-08-01,CLOTHING AND FOOTWEAR,195.8,CPIH
4704,1988-08-01,MISCELLANEOUS GOODS AND SERVICES,46.8,CPIH
7,1988-08-01,FOOD AND NON-ALCOHOLIC BEVERAGES,48.7,CPIH
8120,1988-08-01,COMMUNICATION,96.9,CPI
8121,1988-09-01,COMMUNICATION,97.6,CPI
2997,1988-09-01,COMMUNICATION,98.6,CPIH
1716,1988-09-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",71.4,CPIH
8,1988-09-01,FOOD AND NON-ALCOHOLIC BEVERAGES,48.9,CPIH
2143,1988-09-01,HEALTH,39.3,CPIH
5986,1988-09-01,CLOTHING AND FOOTWEAR,198.0,CPI
8548,1988-09-01,RECREATION & CULTURE,75.4,CPI
9829,1988-09-01,MISCELLANEOUS GOODS AND SERVICES,47.6,CPI
9402,1988-09-01,"HOTELS, CAFES AND RESTAURANTS",34.4,CPI
4278,1988-09-01,"HOTELS, CAFES AND RESTAURANTS",34.4,CPIH
